"RuleName","Severity","Kind","TablesUsed","TableCount"
"Cloudflare - Unexpected URI","Medium","Scheduled","","0"
"Port scan detected  (ASIM Network Session schema)","Medium","Scheduled","","0"
"Sensitive Data Discovered in the Last 24 Hours - Customized","Informational","Scheduled","","0"
"McAfee ePO - Multiple threats on same host","Medium","Scheduled","","0"
"SUNBURST and SUPERNOVA backdoor hashes","High","Scheduled","","0"
"Suspicious command sent to EC2","High","Scheduled","","0"
"Cisco ASA - threat detection message fired","Medium","Scheduled","","0"
"Semperis DSP Kerberos krbtgt account with old password","Medium","Scheduled","","0"
"Excessive Blocked Traffic Events Generated by User","Medium","Scheduled","","0"
"Suspicious AWS CLI Command Execution","Medium","Scheduled","","0"
"Semperis DSP Recent sIDHistory changes on AD objects","High","Scheduled","","0"
"Claroty - Treat detected","High","Scheduled","","0"
"Port Scan Detected","Medium","Scheduled","","0"
"ClientDeniedAccess","Medium","Scheduled","","0"
"ApexOne - Spyware with failed response","High","Scheduled","","0"
"McAfee ePO - File added to exceptions","Medium","Scheduled","","0"
"Cisco WSA - Unexpected file type","Medium","Scheduled","","0"
"McAfee ePO - Agent Handler down","Medium","Scheduled","","0"
"Ping Federate - Unexpected country for user","Medium","Scheduled","","0"
"CiscoISE - Backup failed","Medium","Scheduled","","0"
"Semperis DSP Well-known privileged SIDs in sIDHistory","Medium","Scheduled","","0"
"McAfee ePO - Unable to clean or delete infected file","High","Scheduled","","0"
"Contrast Exploits","High","Scheduled","","0"
"Claroty - Multiple failed logins to same destinations","High","Scheduled","","0"
"Fortiweb - WAF Allowed threat","High","Scheduled","","0"
"OracleDBAudit - Shutdown Server","Medium","Scheduled","","0"
"Cisco WSA - Multiple errors to URL","Medium","Scheduled","","0"
"Website blocked by ESET","Low","Scheduled","","0"
"CiscoISE - Log files deleted","Medium","Scheduled","","0"
"OracleDBAudit - SQL injection patterns","Medium","Scheduled","","0"
"Cisco ASA - average attack detection rate increase","Low","Scheduled","","0"
"OracleDBAudit - Multiple tables dropped in short time","Medium","Scheduled","","0"
"GitLab - User Impersonation","Medium","Scheduled","","0"
"SAP - (Preview) HANA DB - Deactivation of Audit Trail","High","Scheduled","","0"
"VMware ESXi - VM stopped","Medium","Scheduled","","0"
"Jira - Permission scheme updated","Medium","Scheduled","","0"
"PaloAlto - User privileges was changed","Medium","Scheduled","","0"
"PaloAlto - Forbidden countries","Medium","Scheduled","","0"
"SAP - Deactivation of Security Audit Log","High","Scheduled","","0"
"S3 bucket exposed via ACL","Medium","Scheduled","","0"
"Malware Detected","Medium","Scheduled","","0"
"Jira - Project roles changed","Medium","Scheduled","","0"
"Jira - Project roles changed","Medium","Scheduled","","0"
"SAP - Multiple Spool Output Executions","Medium","Scheduled","","0"
"Cisco WSA - Multiple attempts to download unwanted file","Medium","Scheduled","","0"
"Privilege escalation via Lambda policy","Medium","Scheduled","","0"
"DNS events related to mining pools","Low","Scheduled","","0"
"SAML update identity provider","High","Scheduled","","0"
"ApexOne - Device access permissions was changed","Medium","Scheduled","","0"
"VMware ESXi - Unexpected disk image","Medium","Scheduled","","0"
"S3 bucket suspicious ransomware activity","High","Scheduled","","0"
"Infoblox - High Threat Level Query Not Blocked Detected","Medium","Scheduled","","0"
"SAP - Spool Takeover","Medium","Scheduled","","0"
"PaloAlto - Inbound connection to high risk ports","Medium","Scheduled","","0"
"SAP - SPNego Attack","High","Scheduled","","0"
"Radiflow - Unauthorized Internet Access","Medium","Scheduled","","0"
"OracleDBAudit - Query on Sensitive Table","Medium","Scheduled","","0"
"CiscoISE - Attempt to delete local store logs","Medium","Scheduled","","0"
"TI map Domain entity to Dns Events (ASIM DNS Schema)","Medium","Scheduled","","0"
"SAP - (Preview) HANA DB - Assign Admin Authorizations","High","Scheduled","","0"
"Chia_Crypto_Mining IOC - June 2021","Low","Scheduled","","0"
"TI map Domain entity to PaloAlto","Medium","Scheduled","","0"
"ApexOne - Suspicious commandline arguments","High","Scheduled","","0"
"S3 object publicly exposed","Medium","Scheduled","","0"
"TI Map URL Entity to PaloAlto Data","Medium","Scheduled","","0"
"GuardDuty detector disabled or suspended","High","Scheduled","","0"
"PulseConnectSecure - Large Number of Distinct Failed User Logins","Medium","Scheduled","","0"
"Caramel Tsunami Actor IOC - July 2021","High","Scheduled","","0"
"VMware ESXi - New VM started","Medium","Scheduled","","0"
"SAP - New ICF Service Handlers","High","Scheduled","","0"
"Dataverse - Mass export of records to Excel","Low","Scheduled","","0"
"VMware ESXi - Root impersonation","Medium","Scheduled","","0"
"User Accessed Suspicious URL Categories","Medium","Scheduled","","0"
"Ping Federate - Unusual mail domain.","Medium","Scheduled","","0"
"Privilege escalation via CloudFormation policy","Medium","Scheduled","","0"
"McAfee ePO - Task error","Medium","Scheduled","","0"
"Claroty - Policy violation","High","Scheduled","","0"
"McAfee ePO - Update failed","Medium","Scheduled","","0"
"Jira - User's password changed multiple times","High","Scheduled","","0"
"Cisco WSA - Suspected protocol abuse","Medium","Scheduled","","0"
"SAP - (Preview) File Downloaded From a Malicious IP Address","High","Scheduled","","0"
"RDS instance publicly exposed","Medium","Scheduled","","0"
"VMware ESXi - Multiple VMs stopped","Medium","Scheduled","","0"
"CiscoISE - Log collector was suspended","Medium","Scheduled","","0"
"ApexOne - Attack Discovery Detection","High","Scheduled","","0"
"Claroty - Suspicious activity","High","Scheduled","","0"
"Awake Security - Model With Multiple Destinations","Medium","Scheduled","","0"
"VMware ESXi - Root login","High","Scheduled","","0"
"Privilege escalation via CRUD KMS policy","Medium","Scheduled","","0"
"Claroty - Multiple failed logins by user","High","Scheduled","","0"
"ApexOne - Multiple deny or terminate actions on single IP","High","Scheduled","","0"
"McAfee ePO - Deployment failed","High","Scheduled","","0"
"Cisco SDWAN - IPS Event Threshold","High","Scheduled","","0"
"Privilege escalation via DataPipeline policy","Medium","Scheduled","","0"
"Suspicious overly permissive KMS key policy created","High","Scheduled","","0"
"CiscoISE - Certificate has expired","Medium","Scheduled","","0"
"Cisco WSA - Access to unwanted site","High","Scheduled","","0"
"VMware ESXi - Multiple new VMs started","Medium","Scheduled","","0"
"Rare client observed with high reverse DNS lookup count","Medium","Scheduled","","0"
"McAfee ePO - Scanning engine disabled","Low","Scheduled","","0"
"SAP - Transaction is unlocked","Medium","Scheduled","","0"
"McAfee ePO - Logging error occurred","Medium","Scheduled","","0"
"Cisco WSA - Internet access from public IP","Medium","Scheduled","","0"
"VMware ESXi - Low temp directory space","Medium","Scheduled","","0"
"Cisco WSA - Unexpected URL","Medium","Scheduled","","0"
"Contrast Suspicious","Medium","Scheduled","","0"
"TI map File Hash to DeviceFileEvents Event","Medium","Scheduled","","0"
"MosaicLoader","High","Scheduled","","0"
"Claroty - Suspicious file transfer","High","Scheduled","","0"
"Ping Federate - Abnormal password resets for user","High","Scheduled","","0"
"SAP - New ICF Services","High","Scheduled","","0"
"Jira - Global permission added","Medium","Scheduled","","0"
"SAP - Client Configuration Change","High","Scheduled","","0"
"Privilege escalation with AdministratorAccess managed policy","Medium","Scheduled","","0"
"Infoblox - Many High Threat Level Queries From Single Host Detected","Medium","Scheduled","","0"
"Jira - User removed from group","Medium","Scheduled","","0"
"TI map IP entity to Network Session Events (ASIM Network Session schema)","Medium","Scheduled","","0"
"McAfee ePO - Attempt uninstall McAfee agent","Medium","Scheduled","","0"
"PaloAlto - Dropping or denying session with traffic","Medium","Scheduled","","0"
"Excessive Failed Authentication from Invalid Inputs","Medium","Scheduled","","0"
"OracleDBAudit - User activity after long inactivity time","Medium","Scheduled","","0"
"Cisco SDWAN - Intrusion Events","High","Scheduled","","0"
"ECR image scan findings high or critical","High","Scheduled","","0"
"CiscoISE - Command executed with the highest privileges by new user","Medium","Scheduled","","0"
"Privilege escalation via CRUD S3 policy","Medium","Scheduled","","0"
"Failed Logins from Unknown or Invalid User","Medium","Scheduled","","0"
"Microsoft COVID-19 file hash indicator matches","Medium","Scheduled","","0"
"Awake Security - High Severity Matches By Device","Medium","Scheduled","","0"
"Excessive Amount of Denied Connections from a Single Source","Medium","Scheduled","","0"
"OracleDBAudit - Connection to database from external IP","Medium","Scheduled","","0"
"Changes to internet facing AWS RDS Database instances","Low","Scheduled","","0"
"SAP - Dialog logon attempt from a privileged user","High","Scheduled","","0"
"Ping Federate - New user SSO success login","Low","Scheduled","","0"
"Privilege escalation via SSM policy","Medium","Scheduled","","0"
"SAP - (Preview) HANA DB - User Admin actions","High","Scheduled","","0"
"ApexOne - Suspicious connections","High","Scheduled","","0"
"SAP - (Preview) Sensitive Static Parameter Has Changed","Medium","Scheduled","","0"
"Policy version set to default","Medium","Scheduled","","0"
"Ping Federate - OAuth old version","Medium","Scheduled","","0"
"TI map IP entity to Web Session Events (ASIM Web Session schema)","Medium","Scheduled","","0"
"Excessive NXDOMAIN DNS Queries","Medium","Scheduled","","0"
"Potential DHCP Starvation Attack","Medium","Scheduled","","0"
"Request for single resource on domain","Low","Scheduled","","0"
"CiscoISE -  Command executed with the highest privileges from new IP","Medium","Scheduled","","0"
"SAP - (Preview) Capture-replay vulnerability in SAP NetWeaver [CVE-2023-0014]","High","Scheduled","","0"
"Cisco WSA - Multiple infected files","High","Scheduled","","0"
"GitLab - Repository visibility to Public","Medium","Scheduled","","0"
"PaloAlto - Put and post method request in high risk file type","High","Scheduled","","0"
"VMware ESXi - Dormant VM started","Medium","Scheduled","","0"
"Ping Federate - SAML old version","Medium","Scheduled","","0"
"Ping Federate - Password reset request from unexpected source IP address..","Medium","Scheduled","","0"
"GitLab - Personal Access Tokens creation over time","Medium","Scheduled","","0"
"Privilege escalation with FullAccess managed policy","Medium","Scheduled","","0"
"Remote File Creation with PsExec","High","Scheduled","","0"
"TI Map URL Entity to PaloAlto Data","Medium","Scheduled","","0"
