"DisplayName","Severity","Kind","Tactics","LastModified"
"TEARDROP memory-only dropper","High","Scheduled","Execution, Persistence, DefenseEvasion","8/22/2024 9:37:21 AM"
"ApexOne - Multiple deny or terminate actions on single IP","High","Scheduled","InitialAccess","8/22/2024 9:38:38 AM"
"S3 object publicly exposed","Medium","Scheduled","Exfiltration","8/22/2024 9:40:02 AM"
"McAfee ePO - Deployment failed","High","Scheduled","DefenseEvasion","8/22/2024 9:42:25 AM"
"ApexOne - Suspicious commandline arguments","High","Scheduled","Execution","8/22/2024 9:46:10 AM"
"SAP - (Preview) AS JAVA - Sensitive Privileged User Signed In","Medium","Scheduled","InitialAccess","8/22/2024 9:47:25 AM"
"SAP - (Preview) HANA DB - Deactivation of Audit Trail","High","Scheduled","Persistence, LateralMovement, DefenseEvasion","8/22/2024 9:48:18 AM"
"VMware ESXi - VM stopped","Medium","Scheduled","Impact","8/22/2024 9:48:22 AM"
"Privilege escalation via CRUD DynamoDB policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 9:53:33 AM"
"TI map Email entity to SigninLogs","Medium","Scheduled","InitialAccess","8/22/2024 9:55:15 AM"
"Privilege escalation via CRUD DynamoDB policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 9:55:48 AM"
"SAP - Deactivation of Security Audit Log","High","Scheduled","Exfiltration, DefenseEvasion, Persistence","8/22/2024 9:57:46 AM"
"S3 bucket exposed via ACL","Medium","Scheduled","Exfiltration","8/22/2024 9:59:59 AM"
"GreyNoise TI map IP entity to OfficeActivity","Medium","Scheduled","Impact","8/22/2024 10:01:09 AM"
"Malware Detected","Medium","Scheduled","Execution","4/16/2025 7:05:49 AM"
"Jira - Project roles changed","Medium","Scheduled","Impact","8/22/2024 10:03:43 AM"
"Jira - Project roles changed","Medium","Scheduled","Impact","8/22/2024 10:05:47 AM"
"Stopping multiple processes using taskkill","Medium","Scheduled","DefenseEvasion","8/22/2024 10:07:39 AM"
"Regsvr32 Rundll32 Image Loads Abnormal Extension","High","Scheduled","DefenseEvasion","8/22/2024 10:08:39 AM"
"Privilege escalation via Lambda policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 10:09:18 AM"
"TI map Domain entity to Web Session Events (ASIM Web Session schema)","Medium","Scheduled","CommandAndControl","8/22/2024 10:10:37 AM"
"Unauthorized remote access to the network (Microsoft Defender for IoT)","Medium","Scheduled","InitialAccess","8/22/2024 10:11:37 AM"
"TI Map IP Entity to W3CIISLog","Medium","Scheduled","CommandAndControl","8/22/2024 10:15:42 AM"
"SAML update identity provider","High","Scheduled","Persistence","8/22/2024 10:16:06 AM"
"SAP - Debugging Activities","Medium","Scheduled","Discovery","8/22/2024 10:18:05 AM"
"TI Map IP Entity to VMConnection","Medium","Scheduled","CommandAndControl","8/22/2024 10:18:15 AM"
"AD FS Remote HTTP Network Connection","Medium","Scheduled","Collection","8/22/2024 10:19:07 AM"
"Qakbot Discovery Activies","Medium","Scheduled","DefenseEvasion, Discovery, Execution","8/22/2024 10:23:57 AM"
"SFTP File transfer above threshold","Medium","Scheduled","Exfiltration","4/20/2025 2:45:39 PM"
"Infoblox - High Threat Level Query Not Blocked Detected","Medium","Scheduled","Impact","8/22/2024 10:30:43 AM"
"SharePointFileOperation via previously unseen IPs","Medium","Scheduled","Exfiltration","8/22/2024 10:32:58 AM"
"SAP - Spool Takeover","Medium","Scheduled","Collection, Exfiltration, CommandAndControl","8/22/2024 10:34:37 AM"
"Creation of Glue policy and then privilege escalation","Medium","Scheduled","PrivilegeEscalation","8/22/2024 10:40:39 AM"
"SAP - SPNego Attack","High","Scheduled","Impact, LateralMovement","8/22/2024 10:48:03 AM"
"Deletion of data on multiple drives using cipher exe","Medium","Scheduled","Impact","8/22/2024 10:50:27 AM"
"Radiflow - Unauthorized Internet Access","Medium","Scheduled","InitialAccess, Impact","8/22/2024 10:52:13 AM"
"OracleDBAudit - Query on Sensitive Table","Medium","Scheduled","Collection","8/22/2024 10:54:47 AM"
"CiscoISE - Attempt to delete local store logs","Medium","Scheduled","DefenseEvasion","8/22/2024 10:55:16 AM"
"SAP - User Creates and uses new user","High","Scheduled","Discovery, Persistence","8/22/2024 10:56:44 AM"
"Excessive Windows Logon Failures","Low","Scheduled","CredentialAccess","8/22/2024 11:00:47 AM"
"Insider Risk_High User Security Alert Correlations","Medium","Scheduled","Execution","8/22/2024 11:04:46 AM"
"Privilege escalation via DataPipeline policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 11:05:22 AM"
"Exchange workflow MailItemsAccessed operation anomaly","Medium","Scheduled","Collection","4/19/2025 7:03:27 AM"
"SUNSPOT malware hashes","Medium","Scheduled","Persistence","8/22/2024 11:08:32 AM"
"CiscoISE - Command executed with the highest privileges by new user","Medium","Scheduled","InitialAccess, Persistence, PrivilegeEscalation, DefenseEvasion, Execution","8/22/2024 11:08:39 AM"
"Abnormal Deny Rate for Source IP","Medium","Scheduled","InitialAccess, Exfiltration, CommandAndControl","8/22/2024 11:09:36 AM"
"Microsoft COVID-19 file hash indicator matches","Medium","Scheduled","Impact","8/22/2024 11:19:19 AM"
"Awake Security - High Severity Matches By Device","Medium","Scheduled","","8/22/2024 11:22:19 AM"
"Illegal Function Codes for ICS traffic (Microsoft Defender for IoT)","Medium","Scheduled","ImpairProcessControl","8/22/2024 11:27:43 AM"
"Creation of CRUD KMS policy and then privilege escalation","Medium","Scheduled","PrivilegeEscalation","8/22/2024 11:28:58 AM"
"Changes to internet facing AWS RDS Database instances","Low","Scheduled","Persistence","8/22/2024 11:31:37 AM"
"SAP - Dialog logon attempt from a privileged user","High","Scheduled","CredentialAccess","8/22/2024 11:33:02 AM"
"Ping Federate - New user SSO success login","Low","Scheduled","InitialAccess, Persistence","8/22/2024 11:35:32 AM"
"SAP - Change in a Sensitive Privileged User","High","Scheduled","PrivilegeEscalation, CredentialAccess","8/22/2024 11:36:47 AM"
"Account Creation","Medium","Scheduled","Persistence","8/22/2024 11:37:56 AM"
"SAP - (Preview) HANA DB - User Admin actions","High","Scheduled","PrivilegeEscalation","8/22/2024 11:42:36 AM"
"Mail redirect via ExO transport rule","Medium","Scheduled","Collection, Exfiltration","8/22/2024 11:48:52 AM"
"SAP - (Preview) Sensitive Static Parameter Has Changed","Medium","Scheduled","Impact","8/22/2024 11:50:17 AM"
"SAP - Data collection health check","Medium","Scheduled","Impact","8/22/2024 11:51:14 AM"
"Ping Federate - OAuth old version","Medium","Scheduled","InitialAccess","8/22/2024 11:53:53 AM"
"CloudFormation policy created then used for privilege escalation","High","Scheduled","PrivilegeEscalation","8/22/2024 11:56:53 AM"
"SecurityEvent - Multiple authentication failures followed by a success","Low","Scheduled","CredentialAccess","8/22/2024 12:00:20 PM"
"TI map IP entity to OfficeActivity","Medium","Scheduled","CommandAndControl","8/22/2024 12:02:26 PM"
"Office Policy Tampering","Medium","Scheduled","Persistence, DefenseEvasion","8/22/2024 12:04:42 PM"
"GitLab - SSO - Sign-Ins Burst","Medium","Scheduled","CredentialAccess","8/22/2024 12:06:30 PM"
"Potential DHCP Starvation Attack","Medium","Scheduled","InitialAccess","8/22/2024 12:09:50 PM"
"Request for single resource on domain","Low","Scheduled","CommandAndControl","4/2/2025 12:48:57 PM"
"SAP - Assignment of a sensitive role","Medium","Scheduled","PrivilegeEscalation","8/22/2024 12:13:52 PM"
"SAP - Assignment of a sensitive profile","Medium","Scheduled","PrivilegeEscalation","8/22/2024 3:55:59 PM"
"Disabling Security Services via Registry","Medium","Scheduled","DefenseEvasion","8/22/2024 3:59:43 PM"
"TI Map URL Entity to Syslog Data","Medium","Scheduled","CommandAndControl","8/22/2024 4:01:08 PM"
"SAP - Execution of a Sensitive ABAP Program","High","Scheduled","Exfiltration, LateralMovement, Execution","8/22/2024 4:03:03 PM"
"PaloAlto - Put and post method request in high risk file type","High","Scheduled","InitialAccess","8/22/2024 4:06:26 PM"
"VMware ESXi - Dormant VM started","Medium","Scheduled","InitialAccess","8/22/2024 4:07:16 PM"
"Ping Federate - SAML old version","Medium","Scheduled","InitialAccess","8/22/2024 4:09:04 PM"
"Log4j vulnerability exploit aka Log4Shell IP IOC","High","Scheduled","CommandAndControl","8/22/2024 4:09:10 PM"
"Office365 Sharepoint File transfer Folders above threshold","Medium","Scheduled","Exfiltration","4/19/2025 7:01:13 AM"
"Ping Federate - Password reset request from unexpected source IP address..","Medium","Scheduled","InitialAccess","8/22/2024 4:15:44 PM"
"GitLab - Personal Access Tokens creation over time","Medium","Scheduled","Collection","8/22/2024 4:16:41 PM"
"Preview - TI map URL entity to Cloud App Events","Medium","Scheduled","CommandAndControl","4/2/2025 12:45:41 PM"
"NRT Squid proxy events related to mining pools","Low","NRT","CommandAndControl","8/22/2024 4:18:23 PM"
"SAP - Dynamic ABAP Program","Low","Scheduled","Discovery, CommandAndControl, Impact","8/22/2024 4:19:13 PM"
"Remote File Creation with PsExec","High","Scheduled","LateralMovement","8/22/2024 4:20:21 PM"
"Scheduled Task Hide","High","Scheduled","DefenseEvasion","8/22/2024 4:23:41 PM"
"Java Executing cmd to run Powershell","High","Scheduled","Execution","8/22/2024 4:24:35 PM"
"Privilege escalation via Glue policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 4:24:50 PM"
"Cisco WSA - Access to unwanted site","High","Scheduled","InitialAccess","8/22/2024 4:28:47 PM"
"VMware ESXi - Multiple new VMs started","Medium","Scheduled","InitialAccess","8/22/2024 4:29:53 PM"
"TI map Email entity to SecurityAlert","Medium","Scheduled","InitialAccess","8/22/2024 4:29:53 PM"
"Rare client observed with high reverse DNS lookup count","Medium","Scheduled","Discovery","8/22/2024 4:31:22 PM"
"LSASS Credential Dumping with Procdump","High","Scheduled","CredentialAccess","8/22/2024 4:32:27 PM"
"Creation of DataPipeline policy and then privilege escalation.","High","Scheduled","PrivilegeEscalation","8/22/2024 4:32:30 PM"
"McAfee ePO - Scanning engine disabled","Low","Scheduled","DefenseEvasion","8/22/2024 4:34:05 PM"
"SAP - Sensitive Role Changes","Medium","Scheduled","Impact, PrivilegeEscalation, Persistence","8/22/2024 4:36:10 PM"
"No traffic on Sensor Detected (Microsoft Defender for IoT)","High","Scheduled","InhibitResponseFunction","8/22/2024 4:37:09 PM"
"Cisco WSA - Internet access from public IP","Medium","Scheduled","InitialAccess","8/22/2024 4:39:01 PM"
"VMware ESXi - Low temp directory space","Medium","Scheduled","Impact","8/22/2024 4:39:28 PM"
"Cisco WSA - Unexpected URL","Medium","Scheduled","CommandAndControl","8/22/2024 4:40:28 PM"
"Potential Fodhelper UAC Bypass","Medium","Scheduled","PrivilegeEscalation","8/22/2024 4:40:46 PM"
"TI map IP entity to Azure Key Vault logs","Medium","Scheduled","CommandAndControl","8/22/2024 4:41:54 PM"
"Infoblox - TI - Syslog Match Found - URL","Medium","Scheduled","Impact","8/22/2024 4:42:52 PM"
"Contrast Suspicious","Medium","Scheduled","InitialAccess, Exfiltration","8/22/2024 4:44:42 PM"
"Insider Risk_Risky User Access By Application","Medium","Scheduled","Execution","8/22/2024 4:46:51 PM"
"MosaicLoader","High","Scheduled","DefenseEvasion","8/22/2024 4:49:18 PM"
"Claroty - Suspicious file transfer","High","Scheduled","Discovery","8/22/2024 4:53:42 PM"
"Threat Essentials - User Assigned Privileged Role","High","Scheduled","Persistence","8/22/2024 4:55:12 PM"
"AV detections related to Ukraine threats","High","Scheduled","Impact","8/22/2024 4:56:06 PM"
"Deimos Component Execution","High","Scheduled","Execution, Collection, Exfiltration","8/22/2024 4:57:19 PM"
"SharePointFileOperation via devices with previously unseen user agents","Medium","Scheduled","Exfiltration","8/22/2024 4:58:20 PM"
"Dataverse - Guest user exfiltration following Power Platform defense impairment","High","Scheduled","DefenseEvasion, Exfiltration","8/22/2024 5:09:56 PM"
"TI map Email entity to SecurityEvent","Medium","Scheduled","InitialAccess","8/22/2024 5:11:25 PM"
"LaZagne Credential Theft","Medium","Scheduled","CredentialAccess","8/22/2024 5:16:57 PM"
"SAP - (Preview) Sensitive data saved into a USB drive","High","Scheduled","Exfiltration","8/22/2024 5:19:45 PM"
"SAP - Dynamic Deterministic Audit Log Monitor","High","Scheduled","","8/22/2024 5:27:24 PM"
"Detect CoreBackUp Deletion Activity from related Security Alerts","Medium","Scheduled","Impact","8/22/2024 5:28:43 PM"
"Privilege escalation with AdministratorAccess managed policy","Medium","Scheduled","PrivilegeEscalation","8/22/2024 5:32:14 PM"
"Infoblox - Many High Threat Level Queries From Single Host Detected","Medium","Scheduled","Impact","8/22/2024 6:03:32 PM"
"Jira - User removed from group","Medium","Scheduled","Impact","8/22/2024 6:04:23 PM"
"TI map IP entity to Network Session Events (ASIM Network Session schema)","Medium","Scheduled","CommandAndControl","8/22/2024 6:05:57 PM"
"McAfee ePO - Attempt uninstall McAfee agent","Medium","Scheduled","DefenseEvasion","8/22/2024 6:13:54 PM"
"PaloAlto - Dropping or denying session with traffic","Medium","Scheduled","InitialAccess","8/22/2024 6:17:38 PM"
"Excessive Failed Authentication from Invalid Inputs","Medium","Scheduled","CredentialAccess","8/22/2024 6:22:26 PM"
"OracleDBAudit - User activity after long inactivity time","Medium","Scheduled","InitialAccess, Persistence","8/22/2024 6:31:15 PM"
"Creation of new CRUD IAM policy and then privilege escalation.","Medium","Scheduled","PrivilegeEscalation","8/22/2024 6:32:34 PM"
"Cisco SDWAN - Intrusion Events","High","Scheduled","DefenseEvasion","8/22/2024 6:33:58 PM"
"External user added and removed in short timeframe","Low","Scheduled","Persistence","8/22/2024 6:36:07 PM"
"Cisco SDWAN - IPS Event Threshold","High","Scheduled","Discovery","8/22/2024 6:37:03 PM"
"Cisco ASA - average attack detection rate increase","Low","Scheduled","Discovery, Impact","8/22/2024 6:46:20 PM"
"McAfee ePO - File added to exceptions","Medium","Scheduled","DefenseEvasion","8/22/2024 6:47:16 PM"
"GreyNoise TI map IP entity to Network Session Events (ASIM Network Session schema)","Medium","Scheduled","Impact","8/22/2024 6:50:09 PM"
"CiscoISE - Device PostureStatus changed to non-compliant","Medium","Scheduled","PrivilegeEscalation, Persistence","8/22/2024 6:51:37 PM"
"Changes to Amazon VPC settings","Low","Scheduled","PrivilegeEscalation, LateralMovement","8/22/2024 6:53:43 PM"
"vArmour AppController - SMB Realm Traversal","Medium","Scheduled","Discovery, LateralMovement","8/22/2024 6:56:25 PM"
"Threats detected by ESET","Low","Scheduled","Execution","8/22/2024 6:57:38 PM"
"Gain Code Execution on ADFS Server via SMB + Remote Service or Scheduled Task","Medium","Scheduled","LateralMovement","8/22/2024 7:02:10 PM"
"Unauthorized DHCP configuration in the network (Microsoft Defender for IoT)","Medium","Scheduled","Discovery","8/22/2024 7:04:43 PM"
"Claroty - Asset Down","High","Scheduled","Impact","8/22/2024 7:06:45 PM"
"OracleDBAudit - Connection to database from unknown IP","Medium","Scheduled","InitialAccess","8/22/2024 7:08:23 PM"
"Power Automate - Unusual bulk deletion of flow resources","Medium","Scheduled","Impact, DefenseEvasion","8/22/2024 7:09:37 PM"
"Multiple scans in the network (Microsoft Defender for IoT)","High","Scheduled","Discovery","8/22/2024 7:11:26 PM"
"VMware ESXi - Low patch disk space","Medium","Scheduled","Impact","8/22/2024 7:18:22 PM"
"SAP - Activation or Deactivation of ICF Service","High","Scheduled","CommandAndControl, LateralMovement, Persistence","8/22/2024 7:19:51 PM"
"PaloAlto - MAC address conflict","Low","Scheduled","InitialAccess","8/22/2024 7:26:11 PM"
"User Login from Different Countries within 3 hours","High","Scheduled","InitialAccess","8/22/2024 7:27:32 PM"
"Threat Essentials - NRT User added to Microsoft Entra ID Privileged Groups","Medium","NRT","Persistence, PrivilegeEscalation","4/18/2025 1:17:04 PM"
"Starting or Stopping HealthService to Avoid Detection","Medium","Scheduled","DefenseEvasion","8/22/2024 7:47:21 PM"
"Changes to AWS Security Group ingress and egress settings","Low","Scheduled","Persistence","8/22/2024 7:48:16 PM"
"SonicWall - Capture ATP Malicious File Detection","Medium","Scheduled","Execution","8/22/2024 7:52:25 PM"
"Detection of Malware C2 IPs in DNS Events","Medium","Scheduled","CommandAndControl","8/22/2024 7:53:34 PM"
"DopplePaymer Procdump","High","Scheduled","CredentialAccess","8/22/2024 7:55:04 PM"
"ADFS Database Named Pipe Connection","Medium","Scheduled","Collection","8/22/2024 7:57:53 PM"
"AD user enabled and password not set within 48 hours","Low","Scheduled","Persistence","8/22/2024 7:59:55 PM"
"PaloAlto - Possible port scan","High","Scheduled","Reconnaissance","8/22/2024 8:22:18 PM"
"Power Apps - Multiple users access a malicious link after launching new app","High","Scheduled","InitialAccess","8/22/2024 8:23:21 PM"
"Cisco SEG - Multiple suspiciuos attachments received","High","Scheduled","InitialAccess","8/22/2024 8:25:43 PM"
"Suspicious AWS EC2 Compute Resource Deployments","Medium","Scheduled","Impact","8/22/2024 8:27:45 PM"
"Execution of software vulnerable to webp buffer overflow of CVE-2023-4863","Informational","Scheduled","Execution","4/20/2025 11:38:45 AM"
"Mass secret retrieval from Azure Key Vault","Low","Scheduled","CredentialAccess","8/22/2024 8:33:21 PM"
"TI map IP entity to AWSCloudTrail","Medium","Scheduled","CommandAndControl","8/22/2024 8:35:25 PM"
"Abnormal Port to Protocol","Medium","Scheduled","DefenseEvasion, Exfiltration, CommandAndControl","8/22/2024 8:38:03 PM"
"Internet Access (Microsoft Defender for IoT)","High","Scheduled","LateralMovement","8/22/2024 8:40:00 PM"
"TI Map URL Entity to SecurityAlert Data","Medium","Scheduled","CommandAndControl","8/22/2024 8:43:37 PM"
"Excessive Login Attempts (Microsoft Defender for IoT)","High","Scheduled","ImpairProcessControl","8/22/2024 8:45:38 PM"
"TI Map IP Entity to CommonSecurityLog","Medium","Scheduled","CommandAndControl","8/22/2024 8:49:09 PM"
"TI map Domain entity to Syslog","Medium","Scheduled","CommandAndControl","8/22/2024 8:51:05 PM"
"CiscoISE - Device changed IP in last 24 hours","Medium","Scheduled","CommandAndControl","8/22/2024 8:52:46 PM"
"SSH - Potential Brute Force","Low","Scheduled","CredentialAccess","8/22/2024 8:57:03 PM"
"SAP - (Preview) Data exported from a production system using a transport","Medium","Scheduled","Exfiltration","8/22/2024 9:05:33 PM"
"Linked Malicious Storage Artifacts","Medium","Scheduled","CommandAndControl, Exfiltration","8/22/2024 9:09:12 PM"
"Suspicious Sign-In Activities from High-Risk Countries_Custom","High","Scheduled","CredentialAccess, InitialAccess","9/5/2024 7:23:49 AM"
"TI map IP Entity to Auditlogs - Self-service password reset","Medium","Scheduled","InitialAccess","9/26/2024 9:42:59 AM"
"Entra ID Audit logs - user role assignment change","Low","Scheduled","Persistence","10/7/2024 2:52:06 PM"
"Impossible Travel Activity_Custom","High","Scheduled","InitialAccess, CredentialAccess","10/29/2024 5:21:10 AM"
"Failed MFA challenge","Medium","Scheduled","InitialAccess, CredentialAccess","11/5/2024 10:10:14 AM"
"Potential Account Compromise: Impossible Travel Activity","High","Scheduled","InitialAccess, CredentialAccess","1/16/2025 12:29:11 PM"
"BruteForce detected on the Windows Machine","High","Scheduled","CredentialAccess","11/15/2024 7:00:37 AM"
"Multiple Teams deleted by a single user","Low","Scheduled","","1/23/2025 6:36:25 AM"
"Account created or deleted by non-approved user","Medium","Scheduled","InitialAccess","2/9/2025 11:24:36 AM"
"Anomalous sign-in location by user account and authenticating application","Medium","Scheduled","InitialAccess","2/9/2025 11:25:07 AM"
"Rare application consent","Medium","Scheduled","Persistence, PrivilegeEscalation","2/9/2025 11:30:34 AM"
"First access credential added to Application or Service Principal where no credential was present","High","Scheduled","DefenseEvasion","2/9/2025 11:28:07 AM"
"Account Created and Deleted in Short Timeframe","High","Scheduled","InitialAccess","2/9/2025 11:24:24 AM"
"Modified domain federation trust settings","High","Scheduled","CredentialAccess, Persistence, PrivilegeEscalation","2/9/2025 11:24:44 AM"
"Admin promotion after Role Management Application Permission Grant","High","Scheduled","PrivilegeEscalation, Persistence","2/9/2025 11:24:57 AM"
"Authentication Methods Changed for Privileged Account","High","Scheduled","Persistence","2/9/2025 11:25:16 AM"
"Microsoft Entra ID PowerShell accessing non-Entra ID resources","Low","Scheduled","InitialAccess","2/9/2025 11:25:25 AM"
"Microsoft Entra ID Role Management Permission Grant","High","Scheduled","Persistence, Impact","2/9/2025 11:25:33 AM"
"Azure Portal sign in from another Azure Tenant","Medium","Scheduled","InitialAccess","2/9/2025 11:25:42 AM"
"Brute Force Attack against GitHub Account","Medium","Scheduled","CredentialAccess","2/9/2025 11:25:50 AM"
"Brute force attack against a Cloud PC","Medium","Scheduled","CredentialAccess","2/9/2025 11:26:00 AM"
"Bulk Changes to Privileged Account Permissions","High","Scheduled","PrivilegeEscalation","2/9/2025 11:26:08 AM"
"Attempt to bypass conditional access rule in Microsoft Entra ID","Low","Scheduled","InitialAccess, Persistence","2/9/2025 11:26:19 AM"
"Credential added after admin consented to Application","Medium","Scheduled","CredentialAccess","2/9/2025 11:26:27 AM"
"Cross-tenant Access Settings Organization Added","Medium","Scheduled","InitialAccess, Persistence, Discovery","2/9/2025 11:26:36 AM"
"Cross-tenant Access Settings Organization Deleted","Medium","Scheduled","InitialAccess, Persistence, Discovery","2/9/2025 11:26:44 AM"
"Cross-tenant Access Settings Organization Inbound Collaboration Settings Changed","Medium","Scheduled","InitialAccess, Persistence, Discovery","2/9/2025 11:26:53 AM"
"Cross-tenant Access Settings Organization Inbound Direct Settings Changed","Medium","Scheduled","InitialAccess, Persistence, Discovery","2/9/2025 11:27:02 AM"
"Attempts to sign in to disabled accounts","Medium","Scheduled","InitialAccess","2/9/2025 11:27:28 AM"
"Distributed Password cracking attempts in Microsoft Entra ID","Medium","Scheduled","CredentialAccess","2/9/2025 11:27:36 AM"
"Failed login attempts to Azure Portal","Low","Scheduled","CredentialAccess","2/9/2025 11:27:59 AM"
"Guest accounts added in AAD Groups other than the ones specified","High","Scheduled","InitialAccess, Persistence, Discovery","2/9/2025 11:28:16 AM"
"Mail.Read Permissions Granted to Application","Medium","Scheduled","Persistence","2/9/2025 11:28:25 AM"
"Suspicious application consent similar to O365 Attack Toolkit","High","Scheduled","CredentialAccess, DefenseEvasion","2/9/2025 11:28:33 AM"
"Suspicious application consent similar to PwnAuth","Medium","Scheduled","CredentialAccess, DefenseEvasion","2/9/2025 11:28:42 AM"
"MFA Rejected by User","Medium","Scheduled","InitialAccess","2/9/2025 11:28:50 AM"
"Multiple admin membership removals from newly created admin.","Medium","Scheduled","Impact","2/9/2025 11:29:04 AM"
"New access credential added to Application or Service Principal","Medium","Scheduled","DefenseEvasion","2/9/2025 11:29:18 AM"
"PIM Elevation Request Rejected","High","Scheduled","Persistence","2/9/2025 11:30:03 AM"
"Privileged Accounts - Sign in Failure Spikes","High","Scheduled","InitialAccess","2/9/2025 11:30:16 AM"
"Privileged Role Assigned Outside PIM","Low","Scheduled","PrivilegeEscalation","2/9/2025 11:30:25 AM"
"Password spray attack against Microsoft Entra ID Seamless SSO","Medium","Scheduled","CredentialAccess","2/9/2025 11:30:43 AM"
"GitHub Signin Burst from Multiple Locations","Medium","Scheduled","CredentialAccess","2/9/2025 11:30:52 AM"
"Sign-ins from IPs that attempt sign-ins to disabled accounts","Medium","Scheduled","InitialAccess, Persistence","2/9/2025 11:31:05 AM"
"Brute force attack against Azure Portal","Medium","Scheduled","CredentialAccess","2/9/2025 11:31:14 AM"
"Password spray attack against Microsoft Entra ID application","Medium","Scheduled","CredentialAccess","2/9/2025 11:31:28 AM"
"Successful logon from IP and failure from a different IP","Medium","Scheduled","CredentialAccess, InitialAccess","2/9/2025 11:31:37 AM"
"Suspicious application consent for offline access","Low","Scheduled","CredentialAccess","2/9/2025 11:31:54 AM"
"Suspicious Service Principal creation activity","Low","Scheduled","CredentialAccess, PrivilegeEscalation, InitialAccess","2/9/2025 11:32:04 AM"
"External guest invitation followed by Microsoft Entra ID PowerShell signin","Medium","Scheduled","InitialAccess, Persistence, Discovery","2/9/2025 11:32:19 AM"
"User Accounts - Sign in Failure due to CA Spikes","Medium","Scheduled","InitialAccess","2/9/2025 11:32:28 AM"
"User added to Microsoft Entra ID Privileged Groups","Medium","Scheduled","Persistence, PrivilegeEscalation","2/9/2025 11:32:36 AM"
"New User Assigned to Privileged Role","High","Scheduled","Persistence","2/9/2025 11:32:53 AM"
"New CloudShell User","Low","Scheduled","Execution","2/11/2025 5:40:18 AM"
"Creation of expensive computes in Azure","Low","Scheduled","DefenseEvasion","2/11/2025 6:24:51 AM"
"Stellar Incident -","High","NRT","","2/21/2025 5:52:59 AM"
"Test-Entra ID Playbook","Medium","Scheduled","","2/19/2025 3:52:21 PM"
"Sign-In from a suspicious Country Detected_Custom","High","Scheduled","DefenseEvasion, CredentialAccess, Discovery","3/22/2025 1:16:03 PM"
"Authentication Methods Changed for Privileged Account","High","Scheduled","Persistence","4/7/2025 12:16:51 PM"
"Preview - TI map Email entity to Cloud App Events","Medium","Scheduled","InitialAccess","4/18/2025 1:23:57 PM"
"TI Map URL Entity to EmailUrlInfo","Medium","Scheduled","CommandAndControl","4/18/2025 2:32:54 PM"
"Preview - TI map Domain entity to Cloud App Events","Medium","Scheduled","CommandAndControl","4/18/2025 2:33:45 PM"
"Bitsadmin Activity","Medium","Scheduled","Persistence, CommandAndControl, Exfiltration","4/20/2025 11:39:50 AM"
"Detect Suspicious Commands Initiated by Webserver Processes","High","Scheduled","Execution, DefenseEvasion, Discovery","4/20/2025 11:40:45 AM"
"Imminent Ransomware","High","Scheduled","DefenseEvasion, Persistence","4/20/2025 11:42:33 AM"
"Atypical Travel Activity Observed","High","Scheduled","CredentialAccess, PrivilegeEscalation, Persistence","5/20/2025 6:32:45 AM"
"TI map Domain entity to SecurityAlert","Medium","Scheduled","CommandAndControl","5/22/2025 11:37:19 AM"
"Automation Test Rule","Low","Scheduled","","8/5/2025 4:57:59 AM"
"NRT-DESC-Threat Activity Detected","High","NRT","","10/14/2025 12:06:21 PM"
"Linux | Shell pip to Shell","Medium","NRT","Execution","11/8/2025 12:14:23 PM"
"Failed Logon Multiple times","High","Scheduled","InitialAccess, CredentialAccess","11/20/2025 7:27:04 AM"
"ZPA_login","Medium","Scheduled","","11/19/2025 10:53:15 AM"
"NRT – Addition to Privileged Role","High","NRT","PrivilegeEscalation","11/20/2025 8:07:37 AM"
"Cloudflare - Unexpected URI","Medium","Scheduled","InitialAccess","12/5/2025 5:36:14 AM"
"Impossible Travel login detected","High","NRT","","12/10/2025 10:53:43 AM"
"Heartbeat_Stoppage_Alert","Medium","Scheduled","","12/13/2025 5:27:27 PM"
"Failed login attempts to Azure Portal","Low","Scheduled","CredentialAccess","12/17/2025 8:45:07 AM"
"jisstestblock","Medium","NRT","","1/16/2026 8:47:28 AM"
"successful logon followed by multiple failed logon","Medium","NRT","","12/24/2025 1:36:18 PM"
"hrishikeshtest","Medium","NRT","","1/14/2026 1:50:32 PM"
"jiss reset rule","Medium","NRT","","1/16/2026 9:25:30 AM"
